#separator:tab
#html:false
aan	на
Ik ga aan de tafel zitten.	Я сяду за стол.
Ik ga niet aan de tafel zitten.	Я не сяду за стол.
Ga je aan de tafel zitten?	Ты садишься за стол?
de aanbieding	распродажа
De aanbieding is vandaag.	Распродажа сегодня.
De aanbieding is niet vandaag.	Распродажа не сегодня.
Is de aanbieding vandaag?	Распродажа сегодня?
aantrekken	надевать
Ik trek mijn jas aan.	Я надену куртку.
Ik trek mijn jas niet aan.	Я не надену куртку.
Trek je je jas aan?	Ты надеваешь куртку?
de aardappel	картофель
Ik eet de aardappel.	Я ем картофель.
Ik eet de aardappel niet.	Я не ем картофель.
Eet je de aardappel?	Ты ешь картофель?
de aardbei	клубника
De aardbei is lekker.	Клубника вкусная.
De aardbei is niet lekker.	Клубника не вкусная.
Is de aardbei lekker?	Клубника вкусная?
afrekenen	расплачиваться
Ik reken af bij de kassa.	Я расплачиваюсь на кассе.
Ik reken niet af bij de kassa.	Я не расплачиваюсь на кассе.
Reken je af bij de kassa?	Ты расплачиваешься на кассе?
alles	всё
Ik begrijp alles.	Я понимаю всё.
Ik begrijp niet alles.	Я не понимаю всё.
Begrijp je alles?	Ты понимаешь всё?
de ananas	ананас
De ananas is zoet.	Ананас сладкий.
De ananas is niet zoet.	Ананас не сладкий.
Is de ananas zoet?	Ананас сладкий?
anderhalf	полтора
Ik koop anderhalf kilo.	Я покупаю полтора килограмма.
Ik koop niet anderhalf kilo.	Я не покупаю полтора килограмма.
Koop je anderhalf kilo?	Ты покупаешь полтора килограмма?
anders	по-другому
Ik doe het anders.	Я делаю это по-другому.
Ik doe het niet anders.	Я не делаю это по-другому.
Doe je het anders?	Ты делаешь это по-другому?
de andijvie	эндивий
De andijvie is gezond.	Эндивий полезный.
De andijvie is niet gezond.	Эндивий не полезный.
Is de andijvie gezond?	Эндивий полезный?
de appel	яблоко
Ik eet een appel.	Я ем яблоко.
Ik eet geen appel.	Я не ем яблоко.
Eet je een appel?	Ты ешь яблоко?
de armband	браслет
Ik draag een armband.	Я ношу браслет.
Ik draag geen armband.	Я не ношу браслет.
Draag je een armband?	Ты носишь браслет?
de aspirine	аспирин
Ik neem een aspirine.	Я принимаю аспирин.
Ik neem geen aspirine.	Я не принимаю аспирин.
Neem je een aspirine?	Ты принимаешь аспирин?
de bakker	пекарь
De bakker maakt brood.	Пекарь печёт хлеб.
De bakker maakt geen brood.	Пекарь не печёт хлеб.
Maakt de bakker brood?	Пекарь печёт хлеб?
de bakkerij	пекарня
De bakkerij is open.	Пекарня открыта.
De bakkerij is niet open.	Пекарня не открыта.
Is de bakkerij open?	Пекарня открыта?
de bank	банк
Ik ga naar de bank.	Я пойду в банк.
Ik ga niet naar de bank.	Я не пойду в банк.
Ga je naar de bank?	Ты идёшь в банк?
beige	бежевый
Mijn jas is beige.	Моя куртка бежевая.
Mijn jas is niet beige.	Моя куртка не бежевая.
Is jouw jas beige?	Твоя куртка бежевая?
bestellen	заказывать
Ik bestel een pizza.	Я заказываю пиццу.
Ik bestel geen pizza.	Я не заказываю пиццу.
Bestel je een pizza?	Ты заказываешь пиццу?
betalen	платить
Ik betaal contant.	Я плачу наличными.
Ik betaal niet contant.	Я не плачу наличными.
Betaal je contant?	Ты платишь наличными?
de beurt	очередь
Het is mijn beurt.	Моя очередь.
Het is niet mijn beurt.	Не моя очередь.
Is het jouw beurt?	Твоя очередь?
de bh	бюстгальтер
Ik koop een bh.	Я покупаю бюстгальтер.
Ik koop geen bh.	Я не покупаю бюстгальтер.
Koop je een bh?	Ты покупаешь бюстгальтер?
bij	у, возле
Ik werk bij de supermarkt.	Я работаю в супермаркете.
Ik werk niet bij de supermarkt.	Я не работаю в супермаркете.
Werk je bij de supermarkt?	Ты работаешь в супермаркете?
de bitterbal	биттербал
Ik eet een bitterbal.	Я ем биттербал.
Ik eet geen bitterbal.	Я не ем биттербал.
Eet je een bitterbal?	Ты ешь биттербал?
blauw	синий
Mijn trui is blauw.	Мой свитер синий.
Mijn trui is niet blauw.	Мой свитер не синий.
Is jouw trui blauw?	Твой свитер синий?
het blik	банка
Ik koop een blik soep.	Я покупаю банку супа.
Ik koop geen blik soep.	Я не покупаю банку супа.
Koop je een blik soep?	Ты покупаешь банку супа?
het blikje	баночка
Ik drink een blikje cola.	Я пью баночку колы.
Ik drink geen blikje cola.	Я не пью баночку колы.
Drink je een blikje cola?	Ты пьёшь баночку колы?
de bloem	цветок
Ik koop een bloem.	Я покупаю цветок.
Ik koop geen bloem.	Я не покупаю цветок.
Koop je een bloem?	Ты покупаешь цветок?
de bloemenzaak	цветочный магазин
De bloemenzaak is open.	Цветочный магазин открыт.
De bloemenzaak is niet open.	Цветочный магазин не открыт.
Is de bloemenzaak open?	Цветочный магазин открыт?
de bloemkool	цветная капуста
Ik koop bloemkool.	Я покупаю цветную капусту.
Ik koop geen bloemkool.	Я не покупаю цветную капусту.
Koop je bloemkool?	Ты покупаешь цветную капусту?
de blouse	блузка
Ik draag een blouse.	Я ношу блузку.
Ik draag geen blouse.	Я не ношу блузку.
Draag je een blouse?	Ты носишь блузку?
het boek	книга
Ik lees een boek.	Я читаю книгу.
Ik lees geen boek.	Я не читаю книгу.
Lees je een boek?	Ты читаешь книгу?
de boekenkast	книжный шкаф
De boekenkast is groot.	Книжный шкаф большой.
De boekenkast is niet groot.	Книжный шкаф не большой.
Is de boekenkast groot?	Книжный шкаф большой?
de boekwinkel	книжный магазин
Ik ga naar de boekwinkel.	Я пойду в книжный магазин.
Ik ga niet naar de boekwinkel.	Я не пойду в книжный магазин.
Ga je naar de boekwinkel?	Ты идёшь в книжный магазин?
het bolletje	шарик
Ik koop een bolletje ijs.	Я покупаю шарик мороженого.
Ik koop geen bolletje ijs.	Я не покупаю шарик мороженого.
